Time,BTC-25MAR22,BTC-31DEC21,BTC-PERPETUAL,spread,moving_average,moving_std_dev,upper_band,lower_band,long_entry,long_exit,short_entry,short_exit,positions_long,positions_short,long_sl,positions_long_sl,short_sl,positions_short_sl
1636309800000,65740.0,63844.5,62526.5,1486.920000000002,1500.5725999999975,175.56564350066705,1869.2604513513984,1131.8847486485965,False,False,False,True,,0.0,False,1.0,False,1.0
1636311600000,65718.0,63757.0,62411.5,1543.8950000000004,1501.2787999999978,175.6695157587262,1870.1847830933227,1132.3728169066728,False,True,False,False,0.0,,False,1.0,False,
1636313400000,65617.5,63686.0,62375.0,1525.0899999999965,1502.0919999999978,175.68403839838882,1871.0284806366144,1133.1555193633812,False,True,False,False,0.0,,False,1.0,False,
1636315200000,65781.0,63873.5,62499.5,1481.5599999999977,1501.4662999999978,175.7006700323408,1870.4377070679134,1132.4948929320822,False,False,False,True,,0.0,False,,False,1.0
1636317000000,66022.0,64200.0,62725.5,1364.9049999999988,1500.4406999999978,176.3570730081944,1870.790553317206,1130.0908466827896,False,False,False,True,,0.0,False,,False,1.0
1636318800000,66317.0,64399.0,62964.0,1473.1499999999978,1499.2613999999978,176.33809284384174,1869.5713949720655,1128.9514050279302,False,False,False,True,,0.0,False,,False,1.0
1636320600000,66209.5,64324.0,62918.0,1449.6399999999958,1499.502699999998,176.26019649248283,1869.6491126342119,1129.356287365784,False,False,False,True,,0.0,False,,False,1.0
1636322400000,66309.0,64399.5,62966.0,1465.114999999998,1500.3036999999977,176.00583531553627,1869.9159541626238,1130.6914458373715,False,False,False,True,,0.0,False,,False,1.0
1636324200000,66213.5,64229.0,62879.5,1566.1549999999952,1501.3209999999976,176.24106338613825,1871.427233110888,1131.2147668891073,False,True,False,False,0.0,,False,1.0,False,
1636326000000,66418.0,64406.0,63055.5,1593.3449999999975,1503.2956999999979,176.71683309174816,1874.401049492669,1132.1903505073267,False,True,False,False,0.0,,False,1.0,False,
1636327800000,66680.5,64733.5,63351.5,1518.5799999999908,1504.6035999999972,176.58033456806746,1875.4223025929389,1133.7848974070555,False,True,False,False,0.0,,False,1.0,False,
1636329600000,67907.0,65932.0,64358.0,1487.0600000000013,1505.9289999999974,176.1866668581332,1875.921000402077,1135.9369995979177,False,False,False,True,,0.0,False,,False,1.0
1636331400000,68764.5,66746.0,65085.0,1503.5899999999892,1507.212299999997,175.9258704804478,1876.6566280089373,1137.7679719910566,False,False,False,True,,0.0,False,1.0,False,1.0
1636333200000,69182.0,67067.5,65358.0,1584.5549999999967,1510.411399999997,175.8472825599578,1879.6906933759083,1141.1321066240857,False,True,False,False,0.0,,False,1.0,False,
1636335000000,69011.5,66960.0,65204.0,1507.1399999999958,1512.8086999999969,174.94908000241387,1880.201768005066,1145.4156319949277,False,False,False,True,,0.0,False,1.0,False,1.0
1636336800000,69216.5,67155.0,65368.5,1507.6849999999977,1489.4663999999968,49.961448740532006,1594.385442355114,1384.5473576448796,False,True,False,False,0.0,,False,1.0,False,1.0
1636338600000,68937.0,67155.0,65171.5,1167.114999999998,1483.2994999999971,67.63103452465688,1625.3246725017766,1341.2743274982176,True,False,False,True,1.0,0.0,True,0.0,False,1.0
1636340400000,68890.5,66856.5,65116.0,1494.4449999999997,1483.9859999999971,67.56512407170065,1625.8727605505685,1342.0992394494258,False,True,False,False,0.0,,False,1.0,False,
1636342200000,69010.0,66856.5,65299.0,1670.6749999999993,1488.148499999997,72.45184380449678,1640.2973719894403,1335.9996280105538,False,True,True,False,0.0,-1.0,False,1.0,False,
1636344000000,69082.0,66856.5,65327.5,1751.510000000002,1493.3283999999971,81.46776738628516,1664.410711511196,1322.2460884887983,False,True,True,False,0.0,-1.0,False,1.0,True,0.0
